instance,n_customers,algorithm,best,mean,std,median,cv_pct,feasible_pct,avg_runtime_s
sf_100,100,Genetic Algorithm,9.523689241962966,10.127359040437787,0.5254973082147167,10.3759539007201,5.188887903711573,100.0,9.566368541369835
sf_100,100,Memetic Algorithm,10.30440332880929,12.258253541750491,1.7199230702654458,12.926978426492528,14.030735001585217,100.0,2.345091666871061
sf_100,100,ACO,2.872459331095893,2.9477337653635463,0.06655429288387589,2.9719622703841124,2.2578122103801226,100.0,3.5195852224715054
sf_150,150,Greedy,57113.46857143161,57113.46857143161,0.0,57113.46857143161,0.0,0.0,0.0013400974373022716
sf_150,150,Simulated Annealing,5.026237448277369,5.573637925104956,0.6978228705621062,5.335262683578306,12.520061043415657,100.0,0.40523652732372284
sf_150,150,Genetic Algorithm,5.380942561680994,13.857359383810426,7.47872728006398,16.665837008078523,53.96935356097777,100.0,16.188804694606613
sf_150,150,Memetic Algorithm,4.444100882796342,9.37528843913885,8.238978714594218,4.7950811824620265,87.87973584043665,100.0,3.5020082499831915
sf_150,150,ACO,3.378415101208901,3.434549013151062,0.05968426290434977,3.4279901234864347,1.7377612803257634,100.0,3.709786819604536
sf_200,200,Greedy,4.751467604684299,4.751467604684299,0.0,4.751467604684299,0.0,100.0,0.0022394719223181405
sf_200,200,Simulated Annealing,4.643338324678847,4.703905013995674,0.05522513227212172,4.716909112623876,1.1740273689160108,100.0,0.3851380965982874
sf_200,200,Genetic Algorithm,4.751467604684299,4.751467604684299,0.0,4.751467604684299,0.0,100.0,19.83525679136316
sf_200,200,Memetic Algorithm,4.55999438690593,4.589499967556783,0.03483301577120978,4.580579893235967,0.7589719145319682,100.0,4.536925805577387
sf_200,200,ACO,3.651930098136104,3.7371288311236355,0.08145551821020107,3.7452190195645727,2.1796283160436296,100.0,3.8512487777819238
sf_300,300,Greedy,5.473798849039789,5.473798849039789,0.0,5.473798849039789,0.0,100.0,0.005126527821024259
sf_300,300,Simulated Annealing,5.361155754773428,5.427913900594911,0.05915136894457412,5.4487870979715165,1.0897624764845848,100.0,0.46770833324020106
sf_300,300,Genetic Algorithm,5.473798849039789,5.473798849039789,0.0,5.473798849039789,0.0,100.0,40.939287180857114
sf_300,300,Memetic Algorithm,5.1636411516894025,5.263291063283867,0.08913019501538222,5.290831203558156,1.6934308580641595,100.0,6.786347319682439
sf_300,300,ACO,4.42978797314478,4.530438312492122,0.08718117608022484,4.579123556960222,1.9243430782366808,100.0,5.016330361055831
sf_400,400,Greedy,154082.30194823237,154082.30194823237,0.0,154082.30194823237,0.0,0.0,0.009003041312098503
sf_400,400,Simulated Annealing,6.209172808851692,7.415255791401382,1.2364655200160786,7.356579924892963,16.674617232353135,100.0,0.6379657359793782
sf_400,400,Genetic Algorithm,73564.05915028672,93962.04927246996,34054.31370255937,75046.82476676212,36.24262557727865,0.0,84.97954116715118
sf_400,400,Memetic Algorithm,6.883427560407537,2569.738302349656,4438.604492008515,7.334187171391546,172.72593430817645,66.66666666666666,9.347386736577997
sf_400,400,ACO,4.9556139661644325,4.996466537467123,0.035450538884380906,5.014647545705328,0.7095121846318214,100.0,7.243235791412492
sf_500,500,Greedy,7.0351431135657645,7.0351431135657645,0.0,7.0351431135657645,0.0,100.0,0.014060569616655508
sf_500,500,Simulated Annealing,6.904526031771442,6.954348314039145,0.04742306276246336,6.959580735092652,0.6819195792469537,100.0,0.790571985921512
sf_500,500,Genetic Algorithm,7.014718852056416,7.028335026395982,0.011791952880421737,7.0351431135657645,0.16777733042228726,100.0,103.39826456969604
sf_500,500,Memetic Algorithm,6.658266609452744,6.707815846504263,0.04422916101081204,6.721872558777886,0.6593675500775978,100.0,16.075419389177114
sf_500,500,ACO,5.612152307417376,5.655743934074248,0.04096425297208109,5.661636993376526,0.7242946896036632,100.0,9.771765805160006
